phrases,tags
Do i have to top-up with my credit card before I can transfer?,topping_up_by_card
Why does my transfer keep failing? I've tried 5 times and they all failed.,failed_transfer
"I do not like this, I made a simple transfer but I have an additional charge for doing so.",transfer_fee_charged
The exchange rate is incorrect for something I bought,card_payment_wrong_exchange_rate
I'd like to make some changes to my personal information.,edit_personal_details
I was issued a card about a week ago. why hasn't it come in yet?,card_arrival
I was able to find my card. How to I go about putting it into my app?,card_linking
I need to cancel a payment. Something i purchased a while ago still has not arrived and i'm not going to pay them if they won't send me what I purchased.,request_refund
Is it possible to use my apple watch for topping up?,apple_pay_or_google_pay
There was an extra charge when I used my card,card_payment_fee_charged
"Everything I have was stolen yesterday making it so I don't have access to the app, what should I do?",lost_or_stolen_phone
Please tell me the types of currency I can hold.,fiat_currency_support
Why do I see an extra €1 charge on my statement?,extra_charge_on_statement
Is the 1 pound charge going to be reimbursed on my card?,extra_charge_on_statement
I would like a virtual card...how do I get one?,getting_virtual_card
My card hasn't arrived yet. What do I do?,card_arrival
Is there a minimum age for having an account?,age_limit
Please help revert my transaction from this morning.,cancel_transfer
Would I get a Visa or Mastercard?,visa_or_mastercard
Please help me with my card payments which keeps getting reverted whenever i do online shopping. I am having this problem since last two weeks.,reverted_card_payment?
Can you please tell me why my cash withdrawal is still pending?,pending_cash_withdrawal
What information am I going to have to have in order to do a transfer with my card?,topping_up_by_card
I want to get my hands on one of those virtual cards!,getting_virtual_card
"This is terrible, i want to delete my account",terminate_account
I want a refund for an item,request_refund
"I was charged a fee for the transfer, but can you tell me why?",transfer_fee_charged
My payment has been returned.,reverted_card_payment?
My account is depleted. Can I transfer funds from another bank?,transfer_into_account
Tell me your opinion on the exchange rate.,exchange_rate
I have been charged an extra pound!,extra_charge_on_statement
How do I get money from friends?,receiving_money
"When I travel, can it automatically add money in certain intervals?",automatic_top_up
I'm unhappy with the exchange rate your cash transactions.,wrong_exchange_rate_for_cash_withdrawal
Its been several days and my cash withdrawal is still pending. Why?,pending_cash_withdrawal
What fiat currencies are used for holdings?,fiat_currency_support
Are there a certain amount of transactions i can do with one disposable card?,disposable_card_limits
My credit card payment has been in pending status for a super long time.  I don't get it.  Why is it like this?  When will it go through?,pending_card_payment
What currencies are approved to add money?,supported_cards_and_currencies
Is there a way to track the delivery of my card?,card_arrival
How long does it take to show a deposit I made to my balance?,balance_not_updated_after_cheque_or_cash_deposit
Will you guys do Visa or Mastercard?,visa_or_mastercard
"Unable to complete transfer, states 'declined'",declined_transfer
My ATM withdrawal was declined.,declined_cash_withdrawal
Why am I charged a fee when using my debit or credit card?,card_payment_fee_charged
I have a charge for something I didn't buy.,card_payment_not_recognised
what do i need to have with me to activate card,activate_my_card
"My phone was stolen, help!",lost_or_stolen_phone
How can people transfer money to me?,receiving_money
My transaction from earlier needs to be reversed.,cancel_transfer
"When I look at my statement there is an extra fee, that is for what?",extra_charge_on_statement
"How long does EU transfer take? I bought something online a couple days ago , sent the money immediately online but the seller says it is still not there yet",pending_transfer
There is payment showing that I didn't do.,card_payment_not_recognised
I was not able to receive the correct amount of cash.,wrong_amount_of_cash_received
I'd like to open an account for my kids can I do that?,age_limit
"I was trying to use contactless earlier, but it didn't work.",contactless_not_working
After making a transfer from a UK account it's not showing up. How long do these transfers normally take for you? I want to be certain everything is all right.,balance_not_updated_after_bank_transfer
"I want to link to my card card with you, how?",card_linking
"What stopped my transfer, from being accepted?",failed_transfer
I have been waiting over a week. Is the card still coming?,card_arrival
"A transfer I sent was received in less than the full amount I originally sent, and now I have to send additional funds to cover the full amount. What happened?",transfer_fee_charged
Card payment didn't go through.,declined_card_payment
"I made a card payment, but it has been declined?",declined_card_payment
My disposable virtual card wouldn't process my payment?,virtual_card_not_working
I want to know your exchange rates.,exchange_rate
I think a payment I made with a card was cancelled.,reverted_card_payment?
What would I be charged in receiving a SEPA transfer?,top_up_by_bank_transfer_charge
How can I get another card?,getting_spare_card
There is a direct debit transaction on my statement that I think is not mine. How do I remove?,direct_debit_payment_not_recognised
Why did my transfer fail?  What can I do?,failed_transfer
During the last month I used this account to make payments for my place abroad. I noticed the fees have increased and I wonder why. Shouldn't frequent users have less fees as incentive to keep using instead of increasing them out of nowhere?,transfer_fee_charged
I need to change my phone number.,edit_personal_details
"It says ""pending payment?"" Why is it saying this?",pending_card_payment
I haven't gotten my new card.,card_arrival
How can I know where did my funds come from?,verify_source_of_funds
Why am I being charged for transfers? Are they not free?,transfer_fee_charged
There's something wrong on my bill. A transfer fee should never have been added.,transfer_fee_charged
"How long does it take to activate the card, as it does not look like its working?",activate_my_card
How do I get my cash withdrawal to show?,pending_cash_withdrawal
How can I receive money from my friend?,receiving_money
What proof do you need for my identification?,unable_to_verify_identity
A transfer could not be completed.,failed_transfer
My card payment didn't go through.,declined_card_payment
Tell me what ATMs use this card.,atm_support
"If I am not in the country and I need to change my PIN, how can this be done?",change_pin
Where can I sign up for a virtual card?,getting_virtual_card
Why did my top-up not work?,top_up_failed
Why are my payments not working and show pending?,pending_card_payment
It didn't give me my cash,wrong_amount_of_cash_received
Can I use your app to exchange between USD and GBP,exchange_via_app
How can I the person see my money transaction?,transfer_not_received_by_recipient
What are the exchange rates?,exchange_rate
Help!  The app says I took out cash but I didn't!,cash_withdrawal_not_recognised
Why can't the recepient of my money transaction see it?,transfer_not_received_by_recipient
My phone is missing or stolen.,lost_or_stolen_phone
What's the process to receive a second card?,getting_spare_card
You operate in which countries?,country_support
Why am I being charged extra when I withdrew money?,cash_withdrawal_charge
